Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SFB,Folly Beach,Short,3,30,Short,FJ,sympatric,SFJ,SFJ 9,H,12-Dec,347,0,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,1,Tall,FJ,allopatric,TFJ,TFJ 1 ,F,12-Dec,347,1,1,3,,1,99,99
SFB,Folly Beach,Short,4,2,Tall,BI,allopatric,TBI,TBI 3,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,3,Tall,FJ,allopatric,TFJ,TFJ 16,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,4,Short,FB,sympatric,SFB,SFB 2,F,12-Dec,347,0,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,5,Tall,BI,allopatric,TBI,TBI 21,H,12-Dec,347,1,1,1,,NA,NA,NA
SFB,Folly Beach,Short,4,6,Short,FJ,sympatric,SFJ,SFJ 7,H,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,7,Short,BI,sympatric,SBI,SBI 20,H,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,8,Short,FJ,sympatric,SFJ,SFJ 6,B,12-Dec,347,1,1,2,,2,66,33
SFB,Folly Beach,Short,4,9,Tall,BI,allopatric,TBI,TBI 4,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,10,Short,BI,sympatric,SBI,SBI 15,A,12-Dec,347,1,1,1,,1,181,181
SFB,Folly Beach,Short,4,11,Tall,BI,allopatric,TBI,TBI 17,F,12-Dec,347,1,1,1,,1,21,21
SFB,Folly Beach,Short,4,12,Short,BI,sympatric,SBI,SBI 19,B,12-Dec,347,1,1,2,,2,159,79.5
SFB,Folly Beach,Short,4,13,Tall,FB,allopatric,TFB,TFB 3,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,14,Short,FB,sympatric,SFB,SFB 19,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,15,Tall,FB,allopatric,TFB,TFB 7,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,16,Tall,FJ,allopatric,TFJ,TFJ 19,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,17,Tall,FJ,allopatric,TFJ,TFJ 13,F,12-Dec,347,0,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,18,Short,BI,sympatric,SBI,SBI 6,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,19,Tall,BI,allopatric,TBI,TBI 11,H,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,20,Tall,FJ,allopatric,TFJ,TFJ 9,E,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,21,Short,BI,sympatric,SBI,SBI 2 ,E,12-Dec,347,1,1,2,,2,116,58
SFB,Folly Beach,Short,4,22,Tall,FB,allopatric,TFB,TFB 17,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,23,Short,FJ,sympatric,SFJ,SFJ 13,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,24,Short,FB,sympatric,SFB,SFB 9,C,12-Dec,347,0,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,25,Short,FJ,sympatric,SFJ,SFJ 22,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,26,Tall,FB,allopatric,TFB,TFB 12,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,27,Short,FJ,sympatric,SFJ,SFJ 12,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,4,28,Short,FB,sympatric,SFB,SFB 25,B,12-Dec,347,1,1,1,,1,32,32
SFB,Folly Beach,Short,4,29,Short,FB,sympatric,SFB,SFB 23,B,12-Dec,347,1,0,,,NA,NA,NA
