Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
SFB,Folly Beach,Short,2,25,Short,FJ,sympatric,allopatric,SFJ,SFJ 22,D,1,0,30,
SFB,Folly Beach,Short,2,26,Tall,FB,allopatric,allopatric,TFB,TFB 12,A,1,0,30,
SFB,Folly Beach,Short,2,27,Short,FJ,sympatric,allopatric,SFJ,SFJ 12,D,1,0,30,
SFB,Folly Beach,Short,2,28,Short,FB,sympatric,sympatric,SFB,SFB 25,B,1,1,22,1
SFB,Folly Beach,Short,2,29,Short,FB,sympatric,sympatric,SFB,SFB 23,B,1,0,30,
SFB,Folly Beach,Short,2,30,Tall,FB,allopatric,allopatric,TFB,TFB 1,B,1,1,22,1
SFJ,Fort Johnson,Short,1,1,Short,FJ,sympatric,sympatric,SFJ,SFJ 20,D,1,0,30,
SFJ,Fort Johnson,Short,1,2,Tall,FB,allopatric,allopatric,TFB,TFB 1,A,1,0,30,
SFJ,Fort Johnson,Short,1,3,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,A,0,0,30,
SFJ,Fort Johnson,Short,1,4,Tall,FJ,allopatric,allopatric,TFJ,TFJ 9,C,0,0,30,
SFJ,Fort Johnson,Short,1,5,Short,FJ,sympatric,sympatric,SFJ,SFJ 25,H,1,0,30,
SFJ,Fort Johnson,Short,1,6,Short,FB,sympatric,allopatric,SFB,SFB 4,D,1,0,30,
SFJ,Fort Johnson,Short,1,7,Short,BI,sympatric,allopatric,SBI,SBI 1,C,1,0,30,
SFJ,Fort Johnson,Short,1,8,Short,FB,sympatric,allopatric,SFB,SFB 6,E,1,0,30,
SFJ,Fort Johnson,Short,1,9,Tall,FJ,allopatric,allopatric,TFJ,TFJ 15,B,1,0,30,
SFJ,Fort Johnson,Short,1,10,Short,FJ,sympatric,sympatric,SFJ,SFJ 22,F,1,0,30,
SFJ,Fort Johnson,Short,1,11,Tall,FB,allopatric,allopatric,TFB,TFB 5,D,1,0,30,
SFJ,Fort Johnson,Short,1,12,Tall,BI,allopatric,allopatric,TBI,TBI 14,C,1,0,30,
SFJ,Fort Johnson,Short,1,13,Short,BI,sympatric,allopatric,SBI,SBI 10,A,1,0,30,
SFJ,Fort Johnson,Short,1,14,Short,BI,sympatric,allopatric,SBI,SBI 16,G ,1,0,30,
SFJ,Fort Johnson,Short,1,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,D,1,0,30,
SFJ,Fort Johnson,Short,1,16,Tall,FB,allopatric,allopatric,TFB,TFB 7,C,1,0,30,
