Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial1,Flower1,Time,NumberFlower1
TFJ,Fort Johnson,Tall,9,7,Tall,FJ,sympatric,sympatric,TFJ,TFJ 17,B,1,0,30,0
TFJ,Fort Johnson,Tall,9,8,Tall,FJ,sympatric,sympatric,TFJ,TFJ 9,F,1,0,30,0
TFJ,Fort Johnson,Tall,9,9,Short,BI,allopatric,allopatric,SBI,SBI 9,C,1,0,30,0
TFJ,Fort Johnson,Tall,9,10,Tall,FB,sympatric,allopatric,TFB,TFB 1,C,1,0,30,0
TFJ,Fort Johnson,Tall,9,11,Short,FB,allopatric,allopatric,SFB,SFB 25,A,0,0,30,0
TFJ,Fort Johnson,Tall,9,12,Short,BI,allopatric,allopatric,SBI,SBI 16,E,0,0,30,0
TFJ,Fort Johnson,Tall,9,13,Tall,BI,sympatric,allopatric,TBI,TBI 19,E,1,0,30,0
TFJ,Fort Johnson,Tall,9,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,E,1,0,30,0
TFJ,Fort Johnson,Tall,9,15,Tall,FB,sympatric,allopatric,TFB,TFB 25,F,0,0,30,0
TFJ,Fort Johnson,Tall,9,16,Tall,BI,sympatric,allopatric,TBI,TBI 4,C,0,0,30,0
TFJ,Fort Johnson,Tall,9,17,Tall,FB,sympatric,allopatric,TFB,TFB 10,H,0,0,30,0
TFJ,Fort Johnson,Tall,9,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,H,1,0,30,0
TFJ,Fort Johnson,Tall,9,20,Tall,FJ,sympatric,sympatric,TFJ,TFJ 15,A,0,0,30,0
TFJ,Fort Johnson,Tall,9,22,Tall,BI,sympatric,allopatric,TBI,TBI 14,A,0,0,30,0
TFJ,Fort Johnson,Tall,9,23,Short,BI,allopatric,allopatric,SBI,SBI 19,D,1,0,30,0
TFJ,Fort Johnson,Tall,9,24,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,F,1,0,30,0
TFJ,Fort Johnson,Tall,9,25,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,F,0,0,30,0
TFJ,Fort Johnson,Tall,9,26,Short,FB,allopatric,allopatric,SFB,SFB 6,B,0,0,30,0
TFJ,Fort Johnson,Tall,9,27,Tall,FB,sympatric,allopatric,TFB,TFB 7,G,1,0,30,0
TFJ,Fort Johnson,Tall,9,28,Short,FB,allopatric,allopatric,SFB,SFB 15,C,0,0,30,0
TFJ,Fort Johnson,Tall,9,29,Tall,BI,sympatric,allopatric,TBI,TBI 3,A,1,0,30,0
TFJ,Fort Johnson,Tall,9,30,Tall,FJ,sympatric,sympatric,TFJ,TFJ 16,Z,0,0,30,0
TFJ,Fort Johnson,Tall,10,1,Tall,FJ,sympatric,sympatric,TFJ,TFJ 5,A,0,0,30,0
TFJ,Fort Johnson,Tall,10,2,Tall,FJ,sympatric,sympatric,TFJ,TFJ 13,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,3,Tall,FB,sympatric,allopatric,TFB,TFB 17,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 1,C,1,0,30,0
TFJ,Fort Johnson,Tall,10,5,Tall,BI,sympatric,allopatric,TBI,TBI 21,F,1,1,22,2
TFJ,Fort Johnson,Tall,10,6,Tall,BI,sympatric,allopatric,TBI,TBI 11,B,1,0,30,0
TFJ,Fort Johnson,Tall,10,7,Tall,BI,sympatric,allopatric,TBI,TBI 6,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,8,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,B,1,0,30,0
TFJ,Fort Johnson,Tall,10,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,10,Short,BI,allopatric,allopatric,SBI,SBI 6,F,1,0,30,0
TFJ,Fort Johnson,Tall,10,11,Short,BI,allopatric,allopatric,SBI,SBI 7,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,12,Short,FB,allopatric,allopatric,SFB,SFB 9,F,0,0,30,0
TFJ,Fort Johnson,Tall,10,13,Short,FB,allopatric,allopatric,SFB,SFB 11,F,1,0,30,0
TFJ,Fort Johnson,Tall,10,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,16,Tall,FJ,sympatric,sympatric,TFJ,TFJ 24,E,1,0,30,0
TFJ,Fort Johnson,Tall,10,17,Short,BI,allopatric,allopatric,SBI,SBI 15,D,1,0,30,0
TFJ,Fort Johnson,Tall,10,18,Short,BI,allopatric,allopatric,SBI,SBI 1,F,0,0,30,0
TFJ,Fort Johnson,Tall,10,19,Tall,BI,sympatric,allopatric,TBI,TBI 1,G,1,0,30,0
TFJ,Fort Johnson,Tall,10,20,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,B,1,0,30,0
TFJ,Fort Johnson,Tall,10,21,Short,FB,allopatric,allopatric,SFB,SFB 12,E,0,0,30,0
TFJ,Fort Johnson,Tall,10,22,Tall,FJ,sympatric,sympatric,TFJ,TFJ 19,F,1,0,30,0
TFJ,Fort Johnson,Tall,10,23,Short,BI,allopatric,allopatric,SBI,SBI 10,H,1,0,30,0
TFJ,Fort Johnson,Tall,10,26,Tall,FB,sympatric,allopatric,TFB,TFB 4,D,1,0,30,0
TBI,Bowens Island,Tall,11,1,Short,FJ,allopatric,,SFJ,SFJ 13,D,0,0,30,0
TBI,Bowens Island,Tall,11,2,Short,FJ,allopatric,,SFJ,SFJ 7,B,0,0,30,0
TBI,Bowens Island,Tall,11,3,Tall,BI,sympatric,,TBI,TBI 14,F,0,0,30,0
TBI,Bowens Island,Tall,11,4,Tall,FB,sympatric,,TFB,TFB 7,H,0,0,30,0
TBI,Bowens Island,Tall,11,5,Short,FJ,allopatric,,SFJ,SFJ 8,B,0,0,30,0
TBI,Bowens Island,Tall,11,6,Short,FJ,allopatric,,SFJ,SFJ 22,G,0,0,30,0
TBI,Bowens Island,Tall,11,7,Tall,BI,sympatric,,TBI,TBI 11,D,0,0,30,0
TBI,Bowens Island,Tall,11,8,Short,BI,allopatric,,SBI,SBI 10,G,0,0,30,0
TBI,Bowens Island,Tall,11,9,Short,FB,allopatric,,SFB,SFB 11,A,0,0,30,0
TBI,Bowens Island,Tall,11,10,Tall,FJ,sympatric,,TFJ,TFJ 20,F,0,0,30,0
TBI,Bowens Island,Tall,11,11,Short,BI,allopatric,,SBI,SBI 20,F,0,0,30,0
TBI,Bowens Island,Tall,11,12,Short,FB,allopatric,,SFB,SFB 9,A,0,0,30,0
TBI,Bowens Island,Tall,11,13,Short,FB,allopatric,,SFB,SFB 23,F,0,0,30,0
TBI,Bowens Island,Tall,11,14,Tall,FJ,sympatric,,TFJ,TFJ 15,E,0,0,30,0
TBI,Bowens Island,Tall,11,15,Short,BI,allopatric,,SBI,SBI 2,B,0,0,30,0
TBI,Bowens Island,Tall,11,16,Short,BI,allopatric,,SBI,SBI 6,B,0,0,30,0
TBI,Bowens Island,Tall,11,17,Tall,FJ,sympatric,,TFJ,TFJ 1,H,0,0,30,0
TBI,Bowens Island,Tall,11,18,Tall,FJ,sympatric,,TFJ,TFJ 19,D,0,0,30,0
TBI,Bowens Island,Tall,11,19,Short,FJ,allopatric,,SFJ,SFJ 6,G,0,0,30,0
TBI,Bowens Island,Tall,11,20,Tall,FB,sympatric,,TFB,TFB 17,D,0,0,30,0
TBI,Bowens Island,Tall,11,21,Tall,FB,sympatric,,TFB,TFB 10,F,0,0,30,0
TBI,Bowens Island,Tall,11,22,Tall,BI,sympatric,,TBI,TBI 6,C,0,0,30,0
TBI,Bowens Island,Tall,11,23,Tall,BI,sympatric,,TBI,TBI 1,B,0,0,30,0
TBI,Bowens Island,Tall,11,24,Tall,FB,sympatric,,TFB,TFB 5,B,0,0,30,0
TBI,Bowens Island,Tall,11,25,Tall,FB,sympatric,,TFB,TFB 12,D,0,0,30,0
TBI,Bowens Island,Tall,11,26,Short,FB,allopatric,,SFB,SFB 15,B,0,0,30,0
TBI,Bowens Island,Tall,11,27,Short,FB,allopatric,,SFB,SFB 6,F,0,0,30,0
TBI,Bowens Island,Tall,11,28,Short,BI,allopatric,,SBI,SBI 7,D,0,0,30,0
TBI,Bowens Island,Tall,11,29,Tall,FJ,sympatric,,TFJ,TFJ 17,E,0,0,30,0
TBI,Bowens Island,Tall,11,30,Tall,FB,sympatric,,TFB,TFB 4,B,0,0,30,0
TBI,Bowens Island,Tall,12,1,Short,FB,allopatric,,SFB,SFB 2,E,0,0,30,0
TBI,Bowens Island,Tall,12,2,Tall,FJ,sympatric,,TFJ,TFJ 9,B,0,0,30,0
TBI,Bowens Island,Tall,12,3,Short,FB,allopatric,,SFB,SFB 25,F,0,0,30,0
TBI,Bowens Island,Tall,12,4,Short,BI,allopatric,,SBI,SBI 19,G,0,0,30,0
TBI,Bowens Island,Tall,12,5,Tall,FB,sympatric,,TFB,TFB 1,D,0,0,30,0
TBI,Bowens Island,Tall,12,6,Tall,BI,sympatric,,TBI,TBI 4,H,0,0,30,0
TBI,Bowens Island,Tall,12,7,Short,FJ,allopatric,,SFJ,SFJ 20,E,0,0,30,0
TBI,Bowens Island,Tall,12,8,Tall,FJ,sympatric,,TFJ,TFJ 24,C,0,0,30,0
TBI,Bowens Island,Tall,12,9,Tall,FJ,sympatric,,TFJ,TFJ 16,G,0,0,30,0
TBI,Bowens Island,Tall,12,10,Short,BI,allopatric,,SBI,SBI 16,A,0,0,30,0
TBI,Bowens Island,Tall,12,11,Short,BI,allopatric,,SBI,SBI 15,G,0,0,30,0
TBI,Bowens Island,Tall,12,12,Tall,FJ,sympatric,,TFJ,TFJ 13,C,0,0,30,0
TBI,Bowens Island,Tall,12,13,Tall,FB,sympatric,,TFB,TFB 3,D,0,0,30,0
TBI,Bowens Island,Tall,12,14,Tall,BI,sympatric,,TBI,TBI 17,C,0,0,30,0
TBI,Bowens Island,Tall,12,15,Short,BI,allopatric,,SBI,SBI 1,G,0,0,30,0
TBI,Bowens Island,Tall,12,16,Short,FJ,allopatric,,SFJ,SFJ 12,B,0,0,30,0
TBI,Bowens Island,Tall,12,17,Short,FJ,allopatric,,SFJ,SFJ 16,E,0,0,30,0
TBI,Bowens Island,Tall,12,18,Tall,BI,sympatric,,TBI,TBI 21,B,0,0,30,0
TBI,Bowens Island,Tall,12,19,Tall,BI,sympatric,,TBI,TBI 3,H,0,0,30,0
TBI,Bowens Island,Tall,12,20,Tall,BI,sympatric,,TBI,TBI 22,G,0,0,30,0
TBI,Bowens Island,Tall,12,21,Short,FB,allopatric,,SFB,SFB 12,H,0,0,30,0
TBI,Bowens Island,Tall,12,22,Short,FJ,allopatric,,SFJ,SFJ 25,G,0,0,30,0
TBI,Bowens Island,Tall,12,23,Short,FB,allopatric,,SFB,SFB 4,F,0,0,30,0
TBI,Bowens Island,Tall,12,24,Short,FJ,allopatric,,SFJ,SFJ 9,G,0,0,30,0
TBI,Bowens Island,Tall,12,25,Tall,BI,sympatric,,TBI,TBI 19,F,0,0,30,0
TBI,Bowens Island,Tall,12,26,Tall,FB,sympatric,,TFB,TFB 13,H,0,0,30,0
TBI,Bowens Island,Tall,12,27,Short,BI,allopatric,,SBI,SBI 9,F,0,0,30,0
TBI,Bowens Island,Tall,12,28,Short,FB,allopatric,,SFB,SFB 19,F,0,0,30,0
TBI,Bowens Island,Tall,12,29,Tall,FB,sympatric,,TFB,TFB 25,G,0,0,30,0
TBI,Bowens Island,Tall,12,30,Tall,FJ,sympatric,,TFJ,TFJ 5,H,0,0,30,0
