Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,SA - site,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Status,# Live Stems,max Height,Flowering.Yes
SFJ,Fort Johnson,Short,5,18,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 6,A,12-Dec,347,1,0,8,38,0
SFJ,Fort Johnson,Short,5,19,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 5,G ,12-Dec,347,1,0,9,32,0
SFJ,Fort Johnson,Short,5,20,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 13,F,12-Dec,347,1,0,7,22,1
SFJ,Fort Johnson,Short,5,21,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 11,C,12-Dec,347,1,0,9,36,0
SFJ,Fort Johnson,Short,5,22,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 20,C,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,5,23,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 3,A,12-Dec,347,1,0,10,49,0
SFJ,Fort Johnson,Short,5,24,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 25,C,12-Dec,347,1,0,13,37,0
SFJ,Fort Johnson,Short,5,25,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 1,A,12-Dec,347,1,0,16,41,1
SFJ,Fort Johnson,Short,5,26,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 4,D,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,5,27,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 4,A,12-Dec,347,1,0,10,44,0
SFJ,Fort Johnson,Short,5,28,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 12,F,12-Dec,347,1,0,16,39,0
SFJ,Fort Johnson,Short,5,29,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 6,G,12-Dec,347,NA,NA,NA,NA,NA
SFJ,Fort Johnson,Short,5,30,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 9,D,12-Dec,347,NA,NA,NA,NA,NA
SFJ,Fort Johnson,Short,6,1,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 7,E,12-Dec,347,0,1,0,NA,NA
SFJ,Fort Johnson,Short,6,2,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 17,F,12-Dec,347,1,0,8,49,0
SFJ,Fort Johnson,Short,6,3,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 15,E,12-Dec,347,1,0,10,43,0
SFJ,Fort Johnson,Short,6,4,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 6,F,12-Dec,347,1,0,10,31,0
SFJ,Fort Johnson,Short,6,5,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 12,B,12-Dec,347,1,0,5,20,0
SFJ,Fort Johnson,Short,6,6,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 9,E,12-Dec,347,1,0,13,38,0
SFJ,Fort Johnson,Short,6,7,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 23,E,12-Dec,347,1,0,4,22,1
SFJ,Fort Johnson,Short,6,8,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 9,E,12-Dec,347,1,0,1,9,0
SFJ,Fort Johnson,Short,6,9,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 3,D,12-Dec,347,1,0,11,31,0
SFJ,Fort Johnson,Short,6,10,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 16,G,12-Dec,347,1,0,4,29,0
SFJ,Fort Johnson,Short,6,11,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 19,A,12-Dec,347,1,0,15,38,0
SFJ,Fort Johnson,Short,6,12,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 17,F,12-Dec,347,1,0,10,30,0
SFJ,Fort Johnson,Short,6,13,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 12,C,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,6,14,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 19,H,12-Dec,347,1,0,4,38,0
SFJ,Fort Johnson,Short,6,15,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 1 ,B,12-Dec,347,1,0,4,38,0
SFJ,Fort Johnson,Short,6,16,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 19,H,12-Dec,347,1,0,3,35,0
SFJ,Fort Johnson,Short,6,17,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 15,F,12-Dec,347,1,0,10,60,0
SFJ,Fort Johnson,Short,6,18,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 21,E,12-Dec,347,1,0,7,31,0
SFJ,Fort Johnson,Short,6,19,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 16,H,12-Dec,347,1,0,4,37,0
SFJ,Fort Johnson,Short,6,20,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 13,C,12-Dec,347,1,0,5,55,0
SFJ,Fort Johnson,Short,6,21,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 2,B,12-Dec,347,1,0,15,29,0
SFJ,Fort Johnson,Short,6,22,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 2 ,H,12-Dec,347,1,0,3,30,0
SFJ,Fort Johnson,Short,6,23,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 10,G ,12-Dec,347,1,0,11,41,0
SFJ,Fort Johnson,Short,6,24,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 20,H,12-Dec,347,1,0,9,32,0
SFJ,Fort Johnson,Short,6,25,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 11,H,12-Dec,347,1,0,17,42,0
SFJ,Fort Johnson,Short,6,26,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 17,B,12-Dec,347,1,0,15,50,0
SFJ,Fort Johnson,Short,6,27,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 25,E,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,6,28,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 22,E,12-Dec,347,1,0,14,35,0
SFJ,Fort Johnson,Short,6,29,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 7,B,12-Dec,347,1,0,6,38,0
SFJ,Fort Johnson,Short,6,30,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 19,G,12-Dec,347,1,0,3,30,0
TFB,Folly Beach,Tall,7,1,Short,FB,allopatric,allopatric,sympatric,SFB,SFB 9,E,12-Dec,347,0,1,NA,NA,NA
