Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Week.to.death,Surivial_Dec,Status_Dec_survive=0
SFJ,Fort Johnson,Short,1,30,Short,FB,sympatric,allopatric,SFB,SFB 9,D,10,July alive,0
SFJ,Fort Johnson,Short,2,1,Short,FJ,sympatric,sympatric,SFJ,SFJ 7,E,7,0,1
SFJ,Fort Johnson,Short,2,2,Tall,FJ,allopatric,allopatric,TFJ,TFJ 17,F,30,1,0
SFJ,Fort Johnson,Short,2,3,Short,FB,sympatric,allopatric,SFB,SFB 15,E,30,1,0
SFJ,Fort Johnson,Short,2,4,Short,FJ,sympatric,sympatric,SFJ,SFJ 6,F,30,1,0
SFJ,Fort Johnson,Short,2,5,Tall,FB,allopatric,allopatric,TFB,TFB 12,B,30,1,0
SFJ,Fort Johnson,Short,2,6,Short,FJ,sympatric,sympatric,SFJ,SFJ 9,E,30,1,0
SFJ,Fort Johnson,Short,2,7,Short,FB,sympatric,allopatric,SFB,SFB 23,E,30,1,0
SFJ,Fort Johnson,Short,2,8,Short,BI,sympatric,allopatric,SBI,SBI 9,E,30,1,0
SFJ,Fort Johnson,Short,2,9,Tall,BI,allopatric,allopatric,TBI,TBI 3,D,30,1,0
SFJ,Fort Johnson,Short,2,10,Short,FJ,sympatric,sympatric,SFJ,SFJ 16,G,30,1,0
SFJ,Fort Johnson,Short,2,11,Tall,FJ,allopatric,allopatric,TFJ,TFJ 19,A,30,1,0
SFJ,Fort Johnson,Short,2,12,Tall,FB,allopatric,allopatric,TFB,TFB 17,F,30,1,0
SFJ,Fort Johnson,Short,2,13,Short,FJ,sympatric,sympatric,SFJ,SFJ 12,C,4,0,1
SFJ,Fort Johnson,Short,2,14,Tall,BI,allopatric,allopatric,TBI,TBI 19,H,30,1,0
SFJ,Fort Johnson,Short,2,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 1 ,B,30,1,0
SFJ,Fort Johnson,Short,2,16,Short,BI,sympatric,allopatric,SBI,SBI 19,H,30,1,0
SFJ,Fort Johnson,Short,2,17,Short,BI,sympatric,allopatric,SBI,SBI 15,F,30,1,0
SFJ,Fort Johnson,Short,2,18,Tall,BI,allopatric,allopatric,TBI,TBI 21,E,30,1,0
SFJ,Fort Johnson,Short,2,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 16,H,30,1,0
SFJ,Fort Johnson,Short,2,20,Tall,FB,allopatric,allopatric,TFB,TFB 13,C,30,1,0
SFJ,Fort Johnson,Short,2,21,Short,FB,sympatric,allopatric,SFB,SFB 2,B,30,1,0
SFJ,Fort Johnson,Short,2,22,Short,BI,sympatric,allopatric,SBI,SBI 2 ,H,30,1,0
SFJ,Fort Johnson,Short,2,23,Tall,FB,allopatric,allopatric,TFB,TFB 10,G ,30,1,0
SFJ,Fort Johnson,Short,2,24,Tall,FJ,allopatric,allopatric,TFJ,TFJ 20,H,30,1,0
SFJ,Fort Johnson,Short,2,25,Short,FB,sympatric,allopatric,SFB,SFB 11,H,30,1,0
SFJ,Fort Johnson,Short,2,26,Tall,BI,allopatric,allopatric,TBI,TBI 17,B,30,1,0
SFJ,Fort Johnson,Short,2,27,Tall,FB,allopatric,allopatric,TFB,TFB 25,E,4,0,1
SFJ,Fort Johnson,Short,2,28,Tall,BI,allopatric,allopatric,TBI,TBI 22,E,30,1,0
SFJ,Fort Johnson,Short,2,29,Short,BI,sympatric,allopatric,SBI,SBI 7,B,30,1,0
SFJ,Fort Johnson,Short,2,30,Short,FB,sympatric,allopatric,SFB,SFB 19,G,30,1,0
TFB,Folly Beach,Tall,1,1,Short,FB,allopatric,allopatric,SFB,SFB 9,E,22,0,1
TFB,Folly Beach,Tall,1,2,Tall,BI,sympatric,allopatric,TBI,TBI 3,B,22,0,1
TFB,Folly Beach,Tall,1,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,F,10,0,1
TFB,Folly Beach,Tall,1,4,Short,FB,allopatric,allopatric,SFB,SFB 12,D,30,0,1
TFB,Folly Beach,Tall,1,5,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,G,22,0,1
TFB,Folly Beach,Tall,1,6,Tall,FB,sympatric,sympatric,TFB,TFB 12,C,30,0,1
TFB,Folly Beach,Tall,1,7,Short,FB,allopatric,allopatric,SFB,SFB 4,E,7,0,1
TFB,Folly Beach,Tall,1,8,Short,BI,allopatric,allopatric,SBI,SBI 7,F,7,0,1
TFB,Folly Beach,Tall,1,9,Tall,FJ,sympatric,allopatric,TFJ,TFJ 19,B,7,0,1
TFB,Folly Beach,Tall,1,10,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,H,30,1,0
TFB,Folly Beach,Tall,1,11,Short,BI,allopatric,allopatric,SBI,SBI 19,A,30,1,0
TFB,Folly Beach,Tall,1,12,Tall,FJ,sympatric,allopatric,TFJ,TFJ 20,G,30,1,0
TFB,Folly Beach,Tall,1,13,Tall,BI,sympatric,allopatric,TBI,TBI 17,E,7,0,1
TFB,Folly Beach,Tall,1,14,Tall,FB,sympatric,sympatric,TFB,TFB 4,Z,7,0,1
TFB,Folly Beach,Tall,1,15,Short,BI,allopatric,allopatric,SBI,SBI 10,F,14,0,1
TFB,Folly Beach,Tall,1,16,Short,FB,allopatric,allopatric,SFB,SFB 19,D,4,0,1
TFB,Folly Beach,Tall,1,17,Short,FB,allopatric,allopatric,SFB,SFB 6,C,10,0,1
TFB,Folly Beach,Tall,1,18,Tall,BI,sympatric,allopatric,TBI,TBI 4,E,7,0,1
TFB,Folly Beach,Tall,1,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,B,10,0,1
TFB,Folly Beach,Tall,1,20,Short,BI,allopatric,allopatric,SBI,SBI 15,E,10,0,1
TFB,Folly Beach,Tall,1,21,Tall,BI,sympatric,allopatric,TBI,TBI 22,A,4,0,1
TFB,Folly Beach,Tall,1,22,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,C,7,0,1
TFB,Folly Beach,Tall,1,23,Tall,FJ,sympatric,allopatric,TFJ,TFJ 17,E,10,0,1
TFB,Folly Beach,Tall,1,24,Tall,BI,sympatric,allopatric,TBI,TBI 21,G,7,0,1
TFB,Folly Beach,Tall,1,25,Tall,FB,sympatric,sympatric,TFB,TFB 5,A,7,0,1
TFB,Folly Beach,Tall,1,26,Tall,FJ,sympatric,allopatric,TFJ,TFJ 15,C,10,0,1
TFB,Folly Beach,Tall,1,27,Tall,FB,sympatric,sympatric,TFB,TFB 1,E,22,0,1
TFB,Folly Beach,Tall,1,28,Short,BI,allopatric,allopatric,SBI,SBI 2,G,22,0,1
TFB,Folly Beach,Tall,1,29,Tall,FB,sympatric,sympatric,TFB,TFB 7,E,30,1,0
TFB,Folly Beach,Tall,1,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,B,14,0,1
TFB,Folly Beach,Tall,2,1,Tall,BI,sympatric,allopatric,TBI,TBI 11,F,22,0,1
TFB,Folly Beach,Tall,2,2,Short,BI,allopatric,allopatric,SBI,SBI 6,E,30,1,0
TFB,Folly Beach,Tall,2,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,E,30,1,0
TFB,Folly Beach,Tall,2,4,Tall,FJ,sympatric,allopatric,TFJ,TFJ 9,D,14,0,1
TFB,Folly Beach,Tall,2,5,Tall,FB,sympatric,sympatric,TFB,TFB 3,B,14,0,1
TFB,Folly Beach,Tall,2,6,Tall,BI,sympatric,allopatric,TBI,TBI 14,E,30,1,0
